,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
0,1,1,1,2,4,1,1,1,1,15,16,2,20,1,1,1,M
1,1,1,1,2,4,1,1,1,1,20,20,3,25,1,1,1,M
2,1,1,1,2,4,1,1,1,1,10,7,0,30,2,2,2,L
3,1,1,1,2,4,1,1,1,1,30,25,5,35,2,2,2,L
4,1,1,1,2,4,1,1,1,1,40,50,12,50,2,2,2,M
5,2,1,1,2,4,1,1,1,1,42,30,13,70,1,2,2,M
6,1,1,1,1,7,1,11,1,1,35,12,0,17,2,2,2,L
7,1,1,1,1,7,1,11,1,1,50,10,15,22,1,1,1,M
8,2,1,1,1,7,1,11,1,1,12,21,16,50,1,1,1,M
9,2,1,1,1,7,2,1,1,1,70,80,25,70,1,1,1,M
10,1,1,1,1,7,1,11,1,1,50,88,30,80,1,1,1,H
11,1,1,1,1,7,2,11,1,1,19,6,19,12,1,1,1,M
12,1,1,1,2,4,1,1,1,1,5,1,0,11,2,2,2,L
13,1,5,4,1,8,1,11,1,1,20,14,12,19,2,2,2,L
14,2,1,1,1,8,1,11,1,2,62,70,44,60,2,2,2,H
15,2,1,1,1,6,1,1,1,1,30,40,22,66,1,1,1,M
16,1,1,1,1,7,2,1,1,1,36,30,20,80,2,2,2,M
17,1,1,1,1,7,1,11,1,1,55,13,35,90,2,2,2,M
18,2,1,1,1,7,1,1,1,2,69,15,36,96,1,1,1,M
19,1,1,1,1,7,2,1,1,2,70,50,40,99,1,1,1,H
20,2,1,1,1,7,1,1,1,1,60,60,33,90,2,2,2,M
21,2,1,1,1,7,2,1,1,1,10,12,4,80,2,2,1,M
22,1,1,1,1,7,1,1,1,1,15,21,2,90,2,2,1,M
23,1,1,1,1,7,1,1,1,1,2,0,2,50,2,2,2,L
24,1,1,1,1,7,2,1,1,1,0,2,3,70,1,1,2,L
25,1,1,1,1,7,1,1,1,1,8,7,30,40,1,1,2,L
26,1,1,1,1,7,2,1,1,1,19,19,25,40,1,2,1,M
27,1,1,1,1,8,1,3,1,1,25,15,12,33,2,2,2,L
28,1,1,1,1,8,1,4,1,1,75,85,52,43,1,1,1,M
29,2,1,1,1,8,1,3,1,1,30,90,33,35,2,2,1,M
30,2,1,1,1,8,1,3,1,1,35,80,50,70,1,1,1,H
31,1,1,1,1,7,1,1,1,1,4,5,40,16,1,1,2,L
32,2,1,1,2,7,1,1,1,1,2,19,10,50,1,1,2,L
33,1,1,1,2,5,1,5,1,1,8,22,9,40,2,2,2,L
34,1,1,1,1,7,2,4,1,1,12,11,8,40,2,2,2,L
35,1,1,1,1,7,1,5,1,1,10,12,17,30,2,2,2,L
36,1,1,1,1,7,2,4,1,2,8,6,4,22,1,1,2,L
37,2,8,8,1,7,1,1,1,1,45,54,26,90,1,1,1,M
38,1,1,1,1,6,1,1,1,1,0,0,0,4,2,2,2,L
39,2,7,6,1,7,2,4,1,1,50,90,37,70,1,1,1,M
40,2,1,1,1,7,1,1,1,1,14,13,3,70,2,2,2,L
41,1,1,1,1,7,1,1,1,1,19,20,16,50,2,1,1,M
42,1,1,1,3,9,1,1,1,1,10,12,7,33,1,1,2,L
43,2,1,1,3,9,1,1,1,1,30,35,28,90,1,1,1,M
44,2,1,1,3,9,1,1,1,1,33,33,30,90,2,2,1,M
45,1,1,1,1,7,1,10,1,1,20,12,15,70,2,1,2,L
46,1,1,1,2,5,1,5,1,1,7,10,1,30,2,2,2,L
